,Name,Title,Cusip,Ticker,Category,Value,Pct
69,Hanover Insurance Group Inc/The,HANOVER INSURANCE GROUP INC/THE,410867105,None,CORP EC,112342240,0.7
70,Compass Group PLC,COMPASS GROUP PLC,000000000,None,CORP EC,111626014,0.7
71,Annaly Capital Management Inc,ANNALY CAPITAL MANAGEMENT INC,035710839,None,CORP EC,109537560,0.7
72,Rayonier Inc,RAYONIER INC,754907103,None,CORP EC,109341226,0.7
73,Suncor Energy Inc,SUNCOR ENERGY INC,867224107,None,CORP EC,107526461,0.7
74,Exact Sciences Corp,EXACT SCIENCES CORP,30063P105,None,CORP EC,105360745,0.7
75,DS Smith PLC,DS SMITH PLC,000000000,None,CORP EC,105267988,0.7
76,Viatris Inc,VIATRIS INC,92556V106,None,CORP EC,102816433,0.7
77,Voya Financial Inc,VOYA FINANCIAL INC,929089100,None,CORP EC,102081567,0.7
78,Lamb Weston Holdings Inc,LAMB WESTON HOLDINGS INC,513272104,None,CORP EC,101077969,0.6
79,Textron Inc,TEXTRON INC,883203101,None,CORP EC,100083035,0.6
80,Middleby Corp/The,MIDDLEBY CORP/THE,596278101,None,CORP EC,96953485,0.6
81,Flowers Foods Inc,FLOWERS FOODS INC,343498101,None,CORP EC,96601057,0.6
82,Assurant Inc,ASSURANT INC,04621X108,None,CORP EC,93927888,0.6
83,WillScot Holdings Corp,WILLSCOT HOLDINGS CORP,971378104,None,CORP EC,90884051,0.6
84,Permian Resources Corp,PERMIAN RESOURCES CORP,71424F105,None,CORP EC,90621322,0.6
85,Apollo Global Management Inc,APOLLO GLOBAL MANAGEMENT INC,03769M106,None,CORP EC,89091268,0.6
86,Humana Inc,HUMANA INC,444859102,None,CORP EC,88033564,0.6
87,KeyCorp,KEYCORP,493267108,None,CORP EC,86714448,0.6
88,OneMain Holdings Inc,ONEMAIN HOLDINGS INC,68268W103,None,CORP EC,86671755,0.6
89,Apartment Investment and Management Co,APARTMENT INVESTMENT AND MANAGEMENT CO,03748R747,None,CORP EC,86550353,0.6
90,Viper Energy Inc,VIPER ENERGY INC,927959106,None,CORP EC,86097633,0.5
91,Pinterest Inc,PINTEREST INC,72352L106,None,CORP EC,84474100,0.5
92,Verra Mobility Corp,VERRA MOBILITY CORP,92511U102,None,CORP EC,84254001,0.5
93,Rambus Inc,RAMBUS INC,750917106,None,CORP EC,84087151,0.5
94,Edenred SE,EDENRED SE,000000000,None,CORP EC,83514089,0.5
95,Aramark,ARAMARK,03852U106,None,CORP EC,83186264,0.5
96,Cooper Cos Inc/The,COOPER COS INC/THE,216648501,None,CORP EC,83049562,0.5
97,Ulta Beauty Inc,ULTA BEAUTY INC,90384S303,None,CORP EC,82510570,0.5
98,CenterPoint Energy Inc,CENTERPOINT ENERGY INC,15189T107,None,CORP EC,82468015,0.5
99,Hexcel Corp,HEXCEL CORP,428291108,None,CORP EC,82203776,0.5
100,Clarivate PLC,CLARIVATE PLC,000000000,None,CORP EC,80814875,0.5
101,Constellation Energy Corp,CONSTELLATION ENERGY CORP,21037T109,None,CORP EC,78683729,0.5
102,Constellation Brands Inc,CONSTELLATION BRANDS INC,21036P108,None,CORP EC,74714796,0.5
103,Tidewater Inc,TIDEWATER INC,88642R109,None,CORP EC,69294920,0.4
104,StepStone Group Inc,STEPSTONE GROUP INC,85914M107,None,CORP EC,67052533,0.4
