,Name,Title,Cusip,Ticker,Category,Value,Pct
98,Salesforce Inc,SALESFORCE INC,79466L302,None,CORP EC,40453930,0.2
99,Biogen Inc,BIOGEN INC,09062X103,None,CORP EC,39759200,0.2
100,Fortive Corp,FORTIVE CORP,34959J108,None,CORP EC,38625000,0.2
101,AbbVie Inc,ABBVIE INC,00287Y109,None,CORP EC,37317000,0.2
102,Expand Energy Corp,EXPAND ENERGY CORP,165167735,None,CORP EC,36458396,0.2
103,Chevron Corp,CHEVRON CORP,166764100,None,CORP EC,36210000,0.2
104,Atmos Energy Corp,ATMOS ENERGY CORP,049560105,None,CORP EC,34817500,0.2
105,TotalEnergies SE,TOTALENERGIES SE,89151E109,None,CORP EC,34335000,0.2
106,Kohl s Corp,KOHL'S CORP,500255104,None,CORP EC,32853600,0.2
107,Merck & Co Inc,MERCK & CO INC,58933Y105,None,CORP EC,29844000,0.2
108,PG&E Corp,PG&E CORP,69331C108,None,CORP EC,28855947,0.2
109,Home Depot Inc/The,HOME DEPOT INC/THE,437076102,None,CORP EC,28396270,0.2
110,NextEra Energy Inc,NEXTERA ENERGY INC,65339F713,None,CORP EP,28120224,0.2
111,Cardinal Health Inc,CARDINAL HEALTH INC,14149Y108,None,CORP EC,27202100,0.2
112,Dr Ing hc F Porsche AG,DR ING HC F PORSCHE AG,000000000,None,CORP EP,26663692,0.2
113,GE HealthCare Technologies Inc,GE HEALTHCARE TECHNOLOGIES INC,36266G107,None,CORP EC,26190300,0.2
114,Centene Corp,CENTENE CORP,15135B101,None,CORP EC,25443600,0.2
115,NiSource Inc,NISOURCE INC,65473P105,None,CORP EC,25364400,0.2
116,Baker Hughes Co,BAKER HUGHES CO,05722G100,None,CORP EC,24406900,0.1
117,Humana Inc,HUMANA INC,444859102,None,CORP EC,23445595,0.1
118,Keurig Dr Pepper Inc,KEURIG DR PEPPER INC,49271V100,None,CORP EC,20556800,0.1
119,AT&T Inc,AT&T INC,00206R102,None,CORP EC,20493000,0.1
120,State Street Corp,STATE STREET CORP,857477103,None,CORP EC,18648500,0.1
121,Honeywell International Inc,HONEYWELL INTERNATIONAL INC,438516106,None,CORP EC,12423950,0.1
122,Vornado Realty Trust,VORNADO REALTY TRUST,929042109,None,CORP EC,9879400,0.1
123,News Corp,NEWS CORP,65249B208,None,CORP EC,9585450,0.1
124,South Bow Corp,SOUTH BOW CORP,83671M105,None,CORP EC,8563028,0.1
