,Name,Title,Cusip,Ticker,Category,Value,Pct
117,Ninebot Ltd,NINEBOT LTD,000000000,689009,CORP EC,20186063,0.4
118,XUJI ELECTRIC CO LTD,XUJI ELECTRIC CO LTD,000000000,000400,CORP EC,19870422,0.3
119,Daiei Kankyo Co Ltd,DAIEI KANKYO CO LTD,000000000,None,CORP EC,19827327,0.3
120,Tokyo Kiraboshi Financial Group Inc,TOKYO KIRABOSHI FINANCIAL GROUP INC,000000000,None,CORP EC,19798045,0.3
121,Helios Towers PLC,HELIOS TOWERS PLC,000000000,None,CORP EC,19590717,0.3
122,Yamaha Corp,YAMAHA CORP,000000000,None,CORP EC,19555015,0.3
123,Bosideng International Holdings Ltd,BOSIDENG INTERNATIONAL HOLDINGS LTD,000000000,None,CORP EC,19516464,0.3
124,Richelieu Hardware Ltd,RICHELIEU HARDWARE LTD,76329W103,None,CORP EC,19165918,0.3
125,Kinaxis Inc,KINAXIS INC,000000000,None,CORP EC,19158758,0.3
126,Nippon Seiki Co Ltd,NIPPON SEIKI CO LTD,000000000,None,CORP EC,19106397,0.3
127,Renishaw PLC,RENISHAW PLC,000000000,None,CORP EC,19023534,0.3
128,Coface SA,COFACE SA,000000000,None,CORP EC,18935463,0.3
129,SDPG,SHANDONG PHARMACEUTICAL GLASS CO LTD,000000000,600529,CORP EC,18874590,0.3
130,Zalando SE,ZALANDO SE,000000000,None,CORP EC,18830777,0.3
131,Shimizu Corp,SHIMIZU CORP,000000000,None,CORP EC,18800643,0.3
132,Trelleborg AB,TRELLEBORG AB,000000000,None,CORP EC,18659574,0.3
133,Sankyu Inc,SANKYU INC,000000000,None,CORP EC,18465312,0.3
134,StorageVault Canada Inc,STORAGEVAULT CANADA INC,000000000,None,CORP EC,18429525,0.3
135,Spin Master Corp,SPIN MASTER CORP,000000000,None,CORP EC,18258391,0.3
136,Rightmove PLC,RIGHTMOVE PLC,000000000,None,CORP EC,18114005,0.3
137,Grupo Aeroportuario del Sureste SAB de CV,GRUPO AEROPORTUARIO DEL SURESTE SAB DE CV,40051E202,None,CORP EC,17993704,0.3
138,Nova Ljubljanska Banka dd,NOVA LJUBLJANSKA BANKA DD,000000000,None,CORP EC,17777905,0.3
139,Corp Inmobiliaria Vesta SAB de CV,CORP INMOBILIARIA VESTA SAB DE CV,000000000,None,CORP EC,17609132,0.3
140,Idec Corp/Japan,IDEC CORP/JAPAN,000000000,None,CORP EC,17376281,0.3
141,Sweco AB,SWECO AB,000000000,None,CORP EC,17307304,0.3
142,Aalberts NV,AALBERTS NV,000000000,None,CORP EC,17195773,0.3
143,Persol Holdings Co Ltd,PERSOL HOLDINGS CO LTD,000000000,None,CORP EC,17186222,0.3
144,Shandong Weigao Group Medical Polymer Co Ltd,SHANDONG WEIGAO GROUP MEDICAL POLYMER CO LTD,000000000,None,CORP EC,17120355,0.3
145,Kingboard Laminates Holdings Ltd,KINGBOARD LAMINATES HOLDINGS LTD,000000000,None,CORP EC,16981859,0.3
146,Cochlear Ltd,COCHLEAR LTD,000000000,None,CORP EC,16891827,0.3
147,ATS Corp,ATS CORP,000000000,None,CORP EC,16756687,0.3
148,Tokyo Seimitsu Co Ltd,TOKYO SEIMITSU CO LTD,000000000,None,CORP EC,16703432,0.3
149,CreditAccess Grameen Ltd,CREDITACCESS GRAMEEN LTD,000000000,None,CORP EC,16696158,0.3
150,Military Commercial Joint Stock Bank,MILITARY COMMERCIAL JOINT STOCK BANK,000000000,None,CORP EC,16617464,0.3
151,METAWATER Co Ltd,METAWATER CO LTD,000000000,None,CORP EC,16580671,0.3
152,BOC Aviation Ltd,BOC AVIATION LTD,000000000,None,CORP EC,16498584,0.3
153,Takeuchi Manufacturing Co Ltd,TAKEUCHI MANUFACTURING CO LTD,000000000,None,CORP EC,16497298,0.3
154,Kosmos Energy Ltd,KOSMOS ENERGY LTD,500688106,None,CORP EC,16369457,0.3
155,Diploma PLC,DIPLOMA PLC,000000000,None,CORP EC,16297930,0.3
156,Nakanishi Inc,NAKANISHI INC,000000000,None,CORP EC,16290632,0.3
157,BFF Bank SpA,BFF BANK SPA,000000000,None,CORP EC,16287956,0.3
158,TOTVS SA,TOTVS SA,000000000,None,CORP EC,16244240,0.3
159,Torrent Pharmaceuticals Ltd,TORRENT PHARMACEUTICALS LTD,000000000,None,CORP EC,16003893,0.3
160,TRYT Inc,TRYT INC,000000000,None,CORP EC,15988935,0.3
161,Troax Group AB,TROAX GROUP AB,000000000,None,CORP EC,15845169,0.3
162,MIPS AB,MIPS AB,000000000,None,CORP EC,15725055,0.3
163,Osisko Gold Royalties Ltd,OSISKO GOLD ROYALTIES LTD,000000000,None,CORP EC,15639542,0.3
164,Fukuoka Financial Group Inc,FUKUOKA FINANCIAL GROUP INC,000000000,None,CORP EC,15630103,0.3
165,SHENZHEN ENVICOOL TECHNOLOGY CO LTD,SHENZHEN ENVICOOL TECHNOLOGY CO LTD,000000000,002837,CORP EC,15575397,0.3
166,Royal Unibrew A/S,ROYAL UNIBREW A/S,000000000,None,CORP EC,15575300,0.3
167,Nagarro SE,NAGARRO SE,000000000,None,CORP EC,15466260,0.3
168,Norva24 Group AB,NORVA24 GROUP AB,000000000,None,CORP EC,15418843,0.3
169,Metro Brands Ltd,METRO BRANDS LTD,000000000,None,CORP EC,15234505,0.3
170,Daicel Corp,DAICEL CORP,000000000,None,CORP EC,15197596,0.3
171,Innovent Biologics Inc,INNOVENT BIOLOGICS INC,000000000,None,CORP EC,15111470,0.3
172,Tokyo Century Corp,TOKYO CENTURY CORP,000000000,None,CORP EC,15016290,0.3
173,RIYUE HEAVY INDUSTRY CO LTD,RIYUE HEAVY INDUSTRY CO LTD,000000000,603218,CORP EC,15015949,0.3
174,Penta-Ocean Construction Co Ltd,PENTA-OCEAN CONSTRUCTION CO LTD,000000000,None,CORP EC,14895480,0.3
175,Reliance Worldwide Corp Ltd,RELIANCE WORLDWIDE CORP LTD,000000000,None,CORP EC,14879490,0.3
176,Eramet SA,ERAMET SA,000000000,None,CORP EC,14813111,0.3
177,Technoprobe SpA,TECHNOPROBE SPA,000000000,None,CORP EC,14773862,0.3
178,Haier Smart Home Co Ltd,HAIER SMART HOME CO LTD,000000000,None,CORP EC,14675640,0.3
179,Bossard Holding AG,BOSSARD HOLDING AG,000000000,None,CORP EC,14577415,0.3
180,Sapphire Foods India Ltd,SAPPHIRE FOODS INDIA LTD,000000000,None,CORP EC,14523099,0.3
181,Interpump Group SpA,INTERPUMP GROUP SPA,000000000,None,CORP EC,14463687,0.3
182,HMS Networks AB,HMS NETWORKS AB,000000000,None,CORP EC,14339770,0.3
183,Oxford Nanopore Technologies PLC,OXFORD NANOPORE TECHNOLOGIES PLC,000000000,None,CORP EC,14313532,0.3
184,NTG Nordic Transport Group A/S,NTG NORDIC TRANSPORT GROUP A/S,000000000,None,CORP EC,14110529,0.2
185,Yangzijiang Shipbuilding Holdings Ltd,YANGZIJIANG SHIPBUILDING HOLDINGS LTD,000000000,None,CORP EC,14078707,0.2
186,ALS Ltd,ALS LTD,000000000,None,CORP EC,13941665,0.2
187,CHINA OILFIELD SERVICES LTD,CHINA OILFIELD SERVICES LTD,000000000,None,CORP EC,13747155,0.2
188,Multiplan Empreendimentos Imobiliarios SA,MULTIPLAN EMPREENDIMENTOS IMOBILIARIOS SA,000000000,None,CORP EC,13342164,0.2
189,N/A,LONCIN MOTOR CO LTD,000000000,None,CORP EC,13263756,0.2
190,GVS SpA,GVS SPA,000000000,None,CORP EC,13177245,0.2
191,SHENZHEN JUFEI OPTOELECTRONICS CO LTD,SHENZHEN JUFEI OPTOELECTRONICS CO LTD,000000000,300303,CORP EC,13023001,0.2
192,Vedant Fashions Ltd,VEDANT FASHIONS LTD,000000000,None,CORP EC,12858590,0.2
193,Sumitomo Seika Chemicals Co Ltd,SUMITOMO SEIKA CHEMICALS CO LTD,000000000,None,CORP EC,12840717,0.2
194,JIANGSU HENGLI HYDRAULIC CO LTD,JIANGSU HENGLI HYDRAULIC CO LTD,000000000,601100,CORP EC,12609620,0.2
195,Kyoritsu Maintenance Co Ltd,KYORITSU MAINTENANCE CO LTD,000000000,None,CORP EC,12553337,0.2
196,Arcos Dorados Holdings Inc,ARCOS DORADOS HOLDINGS INC,000000000,None,CORP EC,12342565,0.2
