,Name,Title,Cusip,Ticker,Category,Value,Pct
77,N/A,FORMAGRID INC SER F CVT PFD STOCK PP,TC1ERSTV3,None,CORP EP,24243070,0.0
78,Ascot Group Ltd,Gallop Holdings LP - Ascot Group PP,TC4AKPAK5,None,CORP EC,23171714,0.0
79,Celonis SE,CELONIS SE PP,000000000,None,CORP EC,16541050,0.0
80,N/A,LIGHTMATTER SER B-1 CVT PFD PP,000000000,None,CORP EP,16158668,0.0
81,N/A,NURO SERIES D CVT PFD STOCK PP,TC7AXBYR8,None,CORP EP,11628490,0.0
82,N/A,GM CRUISE HLDG CL F CVT PFD PP,000000000,None,CORP EP,4605200,0.0
83,T. Rowe Price Government Reserve Fund,T. Rowe Price Government Reserve Fund - Collateral,76105YYY8,None,RF STIV,3215628,0.0
84,Legend Biotech Corp,LEGEND BIOTECH CORP,52490G102,None,CORP EC,3048412,0.0
85,N/A,GM CRUISE HLDG CL G CVT PFD PP,000000000,None,CORP EP,2619004,0.0
86,N/A,CANVA SERIES A CVT PFD STOCK PP,TC0R8VGD3,None,CORP EP,1863446,0.0
87,N/A,CANVA SERIES A-3 CVT PFD STOCK PP,000000000,None,CORP EP,772906,0.0
88,N/A,CANVA SERIES A-4 CVT PFD STOCK PP,000000000,None,CORP EP,76761,0.0
89,N/A,MAGIC LEAP,000000000,None,CORP EC,0,0.0
90,N/A,THINK & LEARN PRIVATE LIMITED EQ SHS PP,000000000,None,CORP EC,0,0.0
91,N/A,THINK & LEARN SR F CVT CUM PREF SHS STK PP,000000000,None,CORP EP,0,0.0
